@relation shoot
@attribute minAltitude REAL
@attribute maxAltitude REAL
@attribute currentAltitude REAL
@attribute fovValue REAL
@attribute lastAction {explore_off,explore_def,follow,shoot,idle}
@attribute life numeric
@attribute result {DEFEAT,VICTORY}

@data


-133.10086,-108.025024,-116.820274,19178.04,shoot,2,VICTORY
-139.65674,-97.0591,-131.04274,18163.562,follow,2,DEFEAT
-139.91905,-114.88323,-132.57173,20206.672,follow,2,VICTORY
-148.47134,-108.381714,-120.591255,16706.521,explore_off,2,DEFEAT
-137.92065,-108.35999,-121.655846,16304.182,shoot,2,DEFEAT
-143.63351,-106.77586,-119.8237,17811.168,shoot,2,VICTORY
-139.59766,-111.084526,-119.61491,17367.164,shoot,2,DEFEAT
-141.89062,-111.40967,-121.49119,18210.354,shoot,2,DEFEAT
-144.88625,-117.0195,-126.52204,18362.828,shoot,4,VICTORY
-137.95198,-116.74049,-125.38985,18879.053,shoot,2,DEFEAT
-150.07701,-112.072624,-125.520645,15990.937,shoot,6,VICTORY
-148.22508,-113.35411,-123.62819,15621.807,follow,2,DEFEAT
-134.57867,-108.98203,-110.90466,15807.299,shoot,2,DEFEAT
-136.70439,-110.765366,-119.15522,16759.527,follow,2,DEFEAT
-143.61754,-108.85233,-124.38185,16392.0,follow,2,DEFEAT
-138.88205,-102.62962,-114.75543,18072.92,follow,2,DEFEAT
-144.84196,-137.06123,-142.94214,24749.357,idle,2,DEFEAT
-146.25427,-111.7765,-56.3889,12893.564,explore_def,2,DEFEAT
-132.74901,-109.79831,-118.96695,20417.123,explore_def,2,DEFEAT
-139.03433,-100.83402,-128.23093,18201.518,explore_off,12,DEFEAT
-143.9355,-111.57195,-0.41666675,16087.774,idle,2,DEFEAT
-133.02515,-114.247055,-128.39595,20761.66,follow,2,VICTORY
-147.08722,-108.41608,-130.3227,14887.533,follow,2,DEFEAT
-138.84792,-105.017815,-114.85663,16899.695,shoot,2,DEFEAT
-152.71434,-110.759415,-135.29317,18305.674,follow,2,DEFEAT
-145.09662,-104.85997,-122.039696,15417.204,follow,2,DEFEAT
-144.12291,-111.77643,-129.06566,16025.986,follow,6,VICTORY
-139.30432,-114.77268,-121.31081,17873.527,follow,2,DEFEAT
-144.23294,-109.32433,-114.717545,16939.775,follow,2,DEFEAT
-137.1326,-107.715004,-125.47691,19898.438,follow,2,VICTORY
-144.98238,-110.43075,-130.86816,16111.099,follow,2,DEFEAT
-141.0684,-110.451744,-122.902626,18417.398,follow,2,DEFEAT
-146.25624,-105.6519,-120.525604,15103.672,explore_off,2,DEFEAT
-141.37206,-111.27425,-124.90015,17401.754,follow,2,DEFEAT
-133.35521,-109.593346,-128.52545,21117.746,shoot,2,DEFEAT
